unibo,1
c3t,2
esercito,3
unilink,4
poliba,5
polimi,6
polito,7
unirm,8
unive,9
unimol,10
univaq,11
uniba,12
unica,13
unicam,14
unict,15
unige,16
uninap,17
unipa,18
unipg,19
unitn,20
uniud,21
univr,22
unislnt,23
unical,24
unipd,25
unipi,26
unirc,27
unipm,28
